ds,yhat,yhat_lower,yhat_upper,metric
2025-03-15 13:59:10.520557,0.0,-7.335653850457897e-07,7.004343215947299e-07,node_pid_pressure
2025-03-15 14:59:10.520557,0.0,-1.3749203492928593e-06,1.2760734476454593e-06,node_pid_pressure
2025-03-15 15:59:10.520557,0.0,-2.182599146848293e-06,2.0326007510895467e-06,node_pid_pressure
2025-03-15 16:59:10.520557,0.0,-3.0944412201797027e-06,3.005056337637229e-06,node_pid_pressure
2025-03-15 17:59:10.520557,0.0,-4.056113450811916e-06,3.876341237772059e-06,node_pid_pressure
2025-03-15 18:59:10.520557,0.0,-5.424936357625055e-06,4.992655619390754e-06,node_pid_pressure
2025-03-15 19:59:10.520557,0.0,-6.499241932931887e-06,6.250314411338897e-06,node_pid_pressure
2025-03-15 20:59:10.520557,0.0,-7.67680138665401e-06,7.513220863455229e-06,node_pid_pressure
2025-03-15 21:59:10.520557,0.0,-9.100723600848803e-06,8.965078702488247e-06,node_pid_pressure
2025-03-15 22:59:10.520557,0.0,-1.0457960384516733e-05,1.0520149771466875e-05,node_pid_pressure
2025-03-15 23:59:10.520557,0.0,-1.1695859834095033e-05,1.193056818470612e-05,node_pid_pressure
2025-03-16 00:59:10.520557,0.0,-1.3264455491070895e-05,1.354135361704896e-05,node_pid_pressure
2025-03-16 01:59:10.520557,0.0,-1.52359406935646e-05,1.5161001175352429e-05,node_pid_pressure
2025-03-16 02:59:10.520557,0.0,-1.7035673680079575e-05,1.6317583235633183e-05,node_pid_pressure
2025-03-16 03:59:10.520557,0.0,-1.8435168590287556e-05,1.7669804477264826e-05,node_pid_pressure
2025-03-16 04:59:10.520557,0.0,-2.008394743075133e-05,1.9006346802248324e-05,node_pid_pressure
2025-03-16 05:59:10.520557,0.0,-2.1605708517719335e-05,2.0763116659003466e-05,node_pid_pressure
2025-03-16 06:59:10.520557,0.0,-2.330823490858104e-05,2.2354020316505724e-05,node_pid_pressure
2025-03-16 07:59:10.520557,0.0,-2.5277474937091522e-05,2.3814166311514754e-05,node_pid_pressure
2025-03-16 08:59:10.520557,0.0,-2.67037876590226e-05,2.5404856194244134e-05,node_pid_pressure
2025-03-16 09:59:10.520557,0.0,-2.836795869111801e-05,2.7325270081302703e-05,node_pid_pressure
2025-03-16 10:59:10.520557,0.0,-2.9804051340822552e-05,2.9324408197271333e-05,node_pid_pressure
2025-03-16 11:59:10.520557,0.0,-3.234049313240082e-05,3.109972675598563e-05,node_pid_pressure
2025-03-15 11:57:01.772070,1.204671,-0.30851373322965153,2.744938883897567,deployment_replicas
2025-03-15 11:57:14.193447,1.1882410451913472,-0.363967426158334,2.8283873896257075,deployment_replicas
2025-03-15 11:57:29.091752,1.1685348172188246,-0.4246308071267336,2.655269618712909,deployment_replicas
2025-03-15 11:57:45.406439,1.1469551220507108,-0.39242569994569576,2.6117175550737106,deployment_replicas
2025-03-15 11:58:00.686879,1.12674344184048,-0.25870447736808083,2.5992021773755027,deployment_replicas
2025-03-15 11:58:15.714779,1.1068658066178707,-0.3354472313568332,2.6242040812748626,deployment_replicas
2025-03-15 11:58:31.113795,1.0864972852932768,-0.4467991991314552,2.494442844469463,deployment_replicas
2025-03-15 11:58:41.093795,1.0732965803526773,-0.48499943930901185,2.5186966230824965,deployment_replicas
2025-03-15 11:58:55.752738,1.0539069635720468,-0.42803366712147956,2.5093070830212714,deployment_replicas
2025-03-15 11:59:10.520557,1.0343733347765933,-0.5361923349188693,2.536397215993634,deployment_replicas
2025-03-15 12:59:10.520557,-3.7274038554525717,-5.183645949795434,-2.1458648869257106,deployment_replicas
2025-03-15 13:59:10.520557,-8.489181045681736,-9.967229852896905,-7.034227367171377,deployment_replicas
